(.venv) marquiswong@whale mod4-marquisywong % python project/run_mnist_multiclass.py
Epoch 1 loss 2.294568306238359 valid acc 2/16
Epoch 1 loss 11.496530823492497 valid acc 2/16
Epoch 1 loss 11.434609618276625 valid acc 2/16
Epoch 1 loss 11.419450568488541 valid acc 2/16
Epoch 1 loss 11.27147724784972 valid acc 2/16
Epoch 1 loss 10.90603598530356 valid acc 2/16
Epoch 1 loss 10.10237687309224 valid acc 8/16
Epoch 1 loss 9.475069120327033 valid acc 8/16
Epoch 1 loss 9.091487502348613 valid acc 10/16
Epoch 1 loss 6.997859917620063 valid acc 5/16
Epoch 1 loss 8.209911247592316 valid acc 10/16
Epoch 1 loss 7.614002833062877 valid acc 9/16
Epoch 1 loss 6.675336261855348 valid acc 13/16
Epoch 1 loss 5.981950977467145 valid acc 8/16
Epoch 1 loss 6.951747777420007 valid acc 13/16
Epoch 1 loss 5.377823138778013 valid acc 11/16
Epoch 1 loss 6.792043563193554 valid acc 10/16
Epoch 1 loss 5.496636719187187 valid acc 13/16
Epoch 1 loss 6.402097461437151 valid acc 12/16
Epoch 1 loss 3.7737065761906914 valid acc 13/16
Epoch 1 loss 5.375488024845149 valid acc 11/16
Epoch 1 loss 4.976388490642083 valid acc 12/16
Epoch 1 loss 3.0195197476650737 valid acc 12/16
Epoch 1 loss 4.6291682037918624 valid acc 12/16
Epoch 1 loss 4.066370189698263 valid acc 9/16
Epoch 1 loss 4.283964705444933 valid acc 11/16
Epoch 1 loss 6.424469011306604 valid acc 12/16
Epoch 1 loss 3.3888432759910394 valid acc 13/16
Epoch 1 loss 3.7149684799341287 valid acc 13/16
Epoch 1 loss 3.1016364012356594 valid acc 11/16
Epoch 1 loss 5.024858401283697 valid acc 10/16
Epoch 1 loss 3.830344217159141 valid acc 10/16
Epoch 1 loss 2.5631842056157756 valid acc 13/16
Epoch 1 loss 3.010465958834385 valid acc 13/16
Epoch 1 loss 5.979054984888991 valid acc 13/16
Epoch 1 loss 4.391939329969785 valid acc 11/16
Epoch 1 loss 3.3524326764070493 valid acc 11/16
Epoch 1 loss 3.6631626649258004 valid acc 13/16
Epoch 1 loss 3.9583842205141764 valid acc 13/16
Epoch 1 loss 3.4728349047053753 valid acc 13/16
Epoch 1 loss 2.968530469120966 valid acc 13/16
Epoch 1 loss 4.176107570073256 valid acc 16/16
Epoch 1 loss 3.598982825607828 valid acc 14/16
Epoch 1 loss 2.876103104470415 valid acc 12/16
Epoch 1 loss 4.747105782077861 valid acc 15/16
Epoch 1 loss 3.266296579125134 valid acc 15/16
Epoch 1 loss 3.8640029895125148 valid acc 14/16
Epoch 1 loss 2.843441466139736 valid acc 15/16
Epoch 1 loss 3.0449666795840917 valid acc 16/16
Epoch 1 loss 2.7065072321956114 valid acc 15/16
Epoch 1 loss 3.6867942102576174 valid acc 13/16
Epoch 1 loss 3.0736328639404467 valid acc 15/16
Epoch 1 loss 3.344055161098847 valid acc 14/16
Epoch 1 loss 2.348387135365167 valid acc 14/16
Epoch 1 loss 3.383118625721753 valid acc 15/16
Epoch 1 loss 2.6748848450121754 valid acc 13/16
Epoch 1 loss 2.9677463278648 valid acc 13/16
Epoch 1 loss 2.788611242658296 valid acc 13/16
Epoch 1 loss 2.891463323992964 valid acc 12/16
Epoch 1 loss 3.0361985128435776 valid acc 13/16
Epoch 1 loss 2.6996214598263073 valid acc 13/16
Epoch 1 loss 3.025105409976233 valid acc 15/16
Epoch 1 loss 4.18481127459855 valid acc 14/16
Epoch 2 loss 0.5498934833371535 valid acc 14/16
Epoch 2 loss 2.9139708658800214 valid acc 14/16
Epoch 2 loss 3.345071654567512 valid acc 15/16
Epoch 2 loss 3.4070301328668924 valid acc 14/16
Epoch 2 loss 2.0472829512108843 valid acc 14/16
Epoch 2 loss 2.7015052673656887 valid acc 14/16
Epoch 2 loss 2.4847232108631974 valid acc 13/16
Epoch 2 loss 2.8508589309882577 valid acc 13/16
Epoch 2 loss 4.251837298721172 valid acc 14/16
Epoch 2 loss 2.011118903660731 valid acc 14/16
Epoch 2 loss 3.307981461967135 valid acc 15/16
Epoch 2 loss 3.117210073577188 valid acc 14/16
Epoch 2 loss 2.636266518124012 valid acc 15/16
Epoch 2 loss 3.319288800278151 valid acc 14/16
Epoch 2 loss 3.255818141638161 valid acc 14/16
